repo_name,total_contributions,n_contributors_total,core_n,peripheral_n,core_peripheral_ratio,core_top_fraction
JuliaLang/julia,1432017,52,11,41,0.2682926829268293,0.2
galaxyproject/galaxy-hub,66690,46,10,36,0.2777777777777778,0.2
galaxyproject/training-material,152025,45,9,36,0.25,0.2
scipy/scipy,17637,33,7,26,0.2692307692307692,0.2
gnu-octave/packages,6716,29,6,23,0.2608695652173913,0.2
sympy/sympy,10575,28,6,22,0.2727272727272727,0.2
napari/napari,16612,27,6,21,0.2857142857142857,0.2
JuliaLang/www.julialang.org,41191,27,6,21,0.2857142857142857,0.2
astropy/astropy,32952,25,5,20,0.25,0.2
pymc-devs/pymc,44814,23,5,18,0.2777777777777778,0.2
numpy/numpy,50553,23,5,18,0.2777777777777778,0.2
scikit-learn/scikit-learn,21418,23,5,18,0.2777777777777778,0.2
conda/conda-build,150275,23,5,18,0.2777777777777778,0.2
pandas-dev/pandas,18160,22,5,17,0.29411764705882354,0.2
JuliaLang/Pkg.jl,18356,22,5,17,0.29411764705882354,0.2
OSGeo/grass-addons,77394,22,5,17,0.29411764705882354,0.2
stan-dev/math,128792,21,5,16,0.3125,0.2
galaxyproject/galaxy,75272,21,5,16,0.3125,0.2
pydata/xarray,13376,21,5,16,0.3125,0.2
pybamm-team/PyBaMM,123868,21,5,16,0.3125,0.2
gammapy/gammapy-meetings,522,21,5,16,0.3125,0.2
OSGeo/grass,167268,20,4,16,0.25,0.2
lfortran/lfortran,11014,20,4,16,0.25,0.2
dask/dask,43369,20,4,16,0.25,0.2
conda/conda,308891,19,4,15,0.26666666666666666,0.2
matplotlib/matplotlib,13817,18,4,14,0.2857142857142857,0.2
openfheorg/openfhe-development,9159,18,4,14,0.2857142857142857,0.2
QuantEcon/lecture-python-intro,11284,18,4,14,0.2857142857142857,0.2
bokeh/bokeh,157667,17,4,13,0.3076923076923077,0.2
FEniCS/ufl,44682,17,4,13,0.3076923076923077,0.2
tardis-sn/tardis,2051,17,4,13,0.3076923076923077,0.2
pymc-devs/pytensor,13773,17,4,13,0.3076923076923077,0.2
MDAnalysis/mdanalysis,41234,16,4,12,0.3333333333333333,0.2
galaxyproject/tools-iuc,9769,16,4,12,0.3333333333333333,0.2
scverse/scvi-tools,114595,16,4,12,0.3333333333333333,0.2
jupyter/governance,1476,16,4,12,0.3333333333333333,0.2
JuliaLang/juliaup,21014,15,3,12,0.25,0.2
dask/distributed,32355,15,3,12,0.25,0.2
conda/constructor,608,15,3,12,0.25,0.2
InsightSoftwareConsortium/ITK,43409,14,3,11,0.2727272727272727,0.2
FEniCS/dolfinx,912312,14,3,11,0.2727272727272727,0.2
QuantEcon/lecture-python.myst,2985,14,3,11,0.2727272727272727,0.2
zarr-developers/zarr-python,18519,14,3,11,0.2727272727272727,0.2
JuliaLang/PackageCompiler.jl,864,14,3,11,0.2727272727272727,0.2
scverse/scverse.github.io,806,14,3,11,0.2727272727272727,0.2
SciML/SciMLBenchmarks.jl,28870,13,3,10,0.3,0.2
stan-dev/docs,14097,13,3,10,0.3,0.2
holoviz/panel,166774,13,3,10,0.3,0.2
sunpy/sunpy,233069,13,3,10,0.3,0.2
pymc-devs/pymc-examples,566,13,3,10,0.3,0.2
pydata/pydata-sphinx-theme,3070,13,3,10,0.3,0.2
napari/npe2,438,13,3,10,0.3,0.2
scientific-python/specs,199,13,3,10,0.3,0.2
conda/conda-docs,6167,13,3,10,0.3,0.2
stan-dev/stan-dev.github.io,342,13,3,10,0.3,0.2
napari/docs,368,13,3,10,0.3,0.2
galaxyproject/iwc,1817,13,3,10,0.3,0.2
scverse/scvi-tutorials,3461,13,3,10,0.3,0.2
JuliaLang/Distributed.jl,63,13,3,10,0.3,0.2
OSGeo/gdal,354779,12,3,9,0.3333333333333333,0.2
ipython/ipykernel,532,12,3,9,0.3333333333333333,0.2
napari/napari.github.io,1592,12,3,9,0.3333333333333333,0.2
SciML/OrdinaryDiffEq.jl,32182,12,3,9,0.3333333333333333,0.2
gammapy/gammapy,17546,12,3,9,0.3333333333333333,0.2
FEniCS/ffcx,145221,12,3,9,0.3333333333333333,0.2
holoviz/holoviews,147446,12,3,9,0.3333333333333333,0.2
pymc-devs/pymc-experimental,828,12,3,9,0.3333333333333333,0.2
JuliaLang/Downloads.jl,133,12,3,9,0.3333333333333333,0.2
pangeo-data/pangeo,333,12,3,9,0.3333333333333333,0.2
scverse/scanpy,37754,12,3,9,0.3333333333333333,0.2
scverse/cookiecutter-scverse,2397,12,3,9,0.3333333333333333,0.2
JuliaLang/JuliaSyntax.jl,2086,12,3,9,0.3333333333333333,0.2
scverse/ecosystem-packages,781,12,3,9,0.3333333333333333,0.2
FEniCS/basix,46265,11,3,8,0.375,0.2
stan-dev/stan,15426,11,3,8,0.375,0.2
SciML/ModelingToolkit.jl,80473,11,3,8,0.375,0.2
OSGeo/grass-website,821,11,3,8,0.375,0.2
jupyter/nbconvert,419,11,3,8,0.375,0.2
scikit-image/scikit-image,1476,11,3,8,0.375,0.2
SciML/NeuralPDE.jl,10107,11,3,8,0.375,0.2
astropy/astropy.github.com,311,11,3,8,0.375,0.2
fortran-lang/fpm,4368,11,3,8,0.375,0.2
networkx/networkx,1290,11,3,8,0.375,0.2
holoviz/hvplot,9562,11,3,8,0.375,0.2
MDAnalysis/MDAnalysis.github.io,2181,11,3,8,0.375,0.2
scverse/squidpy,1648,11,3,8,0.375,0.2
scverse/spatialdata,5635,11,3,8,0.375,0.2
scverse/napari-spatialdata,1130,11,3,8,0.375,0.2
QuantEcon/lecture-jax,1455,11,3,8,0.375,0.2
OSGeo/PROJ,30146,10,2,8,0.25,0.2
fortran-lang/stdlib,2010,10,2,8,0.25,0.2
fortran-lang/fpm-docs,436,10,2,8,0.25,0.2
stan-dev/stanc3,18572,10,2,8,0.25,0.2
pangeo-data/pangeo-docker-images,5764,10,2,8,0.25,0.2
jupyter/notebook,1626,10,2,8,0.25,0.2
SciML/Catalyst.jl,36625,10,2,8,0.25,0.2
arviz-devs/arviz,2635,10,2,8,0.25,0.2
holoviz/lumen,8493,10,2,8,0.25,0.2
nteract/nteract,370,10,2,8,0.25,0.2
scientific-python/scientific-python.org,545,10,2,8,0.25,0.2
conda/actions,2567,10,2,8,0.25,0.2
pybamm-team/liionpack,6918,10,2,8,0.25,0.2
astropy/astropy-project,345,10,2,8,0.25,0.2
SciML/LinearSolve.jl,9943,10,2,8,0.25,0.2
SciML/NonlinearSolve.jl,8722,10,2,8,0.25,0.2
jupyter/jupyter_client,508,10,2,8,0.25,0.2
conda/conda-pack,2697,10,2,8,0.25,0.2
MDAnalysis/UserGuide,1462,10,2,8,0.25,0.2
conda/conda-content-trust,1724,10,2,8,0.25,0.2
conda/menuinst,1375,10,2,8,0.25,0.2
matplotlib/mpl-brochure-site,144,10,2,8,0.25,0.2
scverse/anndata,12544,10,2,8,0.25,0.2
tardis-sn/stardis,279,10,2,8,0.25,0.2
pymc-devs/nutpie,395,10,2,8,0.25,0.2
scverse/scverse-tutorials,1093,10,2,8,0.25,0.2
scverse/spatialdata-plot,1944,10,2,8,0.25,0.2
conda/infrastructure,3819,10,2,8,0.25,0.2
jupyter/enhancement-proposals,86,10,2,8,0.25,0.2
pangeo-data/pangeo-openeo-BiDS-2023,517,10,2,8,0.25,0.2
jupyter/jupyter.github.io,839,9,2,7,0.2857142857142857,0.2
matplotlib/mpl-third-party,312,9,2,7,0.2857142857142857,0.2
mlpack/mlpack,3817,9,2,7,0.2857142857142857,0.2
SciML/Sundials.jl,1345,9,2,7,0.2857142857142857,0.2
galaxyproject/usegalaxy-tools,1298,9,2,7,0.2857142857142857,0.2
