repo,contributor_id,task_type,file_count,commit_count,core_status
openframeworks/openFrameworks,dimitre,source,648,216,core
openframeworks/openFrameworks,dimitre,config,73,68,core
openframeworks/openFrameworks,dimitre,other,144,142,core
openframeworks/openFrameworks,dimitre,documentation,2,2,core
openframeworks/openFrameworks,ddgg-el,other,1,1,peripheral
openframeworks/openFrameworks,danoli3,source,2048,674,core
openframeworks/openFrameworks,danoli3,config,292,151,core
openframeworks/openFrameworks,danoli3,other,983,259,core
openframeworks/openFrameworks,danoli3,documentation,68,57,core
openframeworks/openFrameworks,danoli3,test,1,1,core
openframeworks/openFrameworks,ofTheo,other,3349,586,core
openframeworks/openFrameworks,ofTheo,source,3382,1218,core
openframeworks/openFrameworks,ofTheo,documentation,103,99,core
openframeworks/openFrameworks,ofTheo,config,416,217,core
openframeworks/openFrameworks,ofTheo,test,1,2,core
openframeworks/openFrameworks,themancalledjakob,other,3,2,peripheral
openframeworks/openFrameworks,themancalledjakob,source,7,4,peripheral
openframeworks/openFrameworks,NickHardeman,other,2207,105,core
openframeworks/openFrameworks,NickHardeman,source,1623,268,core
openframeworks/openFrameworks,NickHardeman,config,281,30,core
openframeworks/openFrameworks,NickHardeman,documentation,75,35,core
openframeworks/openFrameworks,niYaDevelop,source,2,1,peripheral
openframeworks/openFrameworks,elliotwoods,source,428,75,core
openframeworks/openFrameworks,elliotwoods,other,418,21,core
openframeworks/openFrameworks,elliotwoods,config,46,5,core
openframeworks/openFrameworks,elliotwoods,documentation,7,3,core
openframeworks/openFrameworks,smeyfroi,source,2,2,peripheral
openframeworks/openFrameworks,artificiel,source,421,88,core
openframeworks/openFrameworks,artificiel,other,48,27,core
openframeworks/openFrameworks,artificiel,documentation,2,2,core
openframeworks/openFrameworks,artificiel,config,2,2,core
openframeworks/openFrameworks,danomatika,source,1011,244,core
openframeworks/openFrameworks,danomatika,other,646,69,core
openframeworks/openFrameworks,danomatika,config,82,19,core
openframeworks/openFrameworks,danomatika,documentation,35,34,core
openframeworks/openFrameworks,DafinaTrufas,source,1,1,peripheral
openframeworks/openFrameworks,tctr,config,62,9,core
openframeworks/openFrameworks,tctr,other,95,6,core
openframeworks/openFrameworks,tctr,documentation,3,4,core
openframeworks/openFrameworks,tctr,source,19,11,core
openframeworks/openFrameworks,GitBruno,source,1,1,peripheral
openframeworks/openFrameworks,JasonnnW3000,documentation,1,1,peripheral
openframeworks/openFrameworks,chilina,source,1,1,peripheral
openframeworks/openFrameworks,roymacdonald,other,490,21,core
openframeworks/openFrameworks,roymacdonald,source,546,100,core
openframeworks/openFrameworks,roymacdonald,config,50,7,core
openframeworks/openFrameworks,roymacdonald,documentation,18,7,core
openframeworks/openFrameworks,2bbb,source,203,80,core
openframeworks/openFrameworks,2bbb,other,128,3,core
openframeworks/openFrameworks,2bbb,config,37,3,core
openframeworks/openFrameworks,2bbb,documentation,19,1,core
openframeworks/openFrameworks,chriship,source,3,2,peripheral
openframeworks/openFrameworks,edap,source,347,16,core
openframeworks/openFrameworks,edap,other,137,8,core
openframeworks/openFrameworks,edap,documentation,10,9,core
openframeworks/openFrameworks,edap,config,19,4,core
openframeworks/openFrameworks,Jonathhhan,source,67,47,core
openframeworks/openFrameworks,Jonathhhan,other,74,20,core
openframeworks/openFrameworks,Jonathhhan,documentation,1,1,core
openframeworks/openFrameworks,Jonathhhan,config,1,1,core
openframeworks/openFrameworks,oxillo,source,135,59,core
openframeworks/openFrameworks,oxillo,other,112,50,core
openframeworks/openFrameworks,oxillo,config,2,10,core
openframeworks/openFrameworks,oxillo,documentation,10,19,core
openframeworks/openFrameworks,hiroMTB,source,4,5,peripheral
openframeworks/openFrameworks,hiroMTB,other,10,6,peripheral
openframeworks/openFrameworks,hiroMTB,config,3,1,peripheral
openframeworks/openFrameworks,EvergreenTheTree,source,1,1,peripheral
openframeworks/openFrameworks,janimatic,source,1,1,peripheral
openframeworks/openFrameworks,fieldOfView,other,1,1,peripheral
openframeworks/openFrameworks,azuremous,source,20,5,peripheral
openframeworks/openFrameworks,azuremous,other,36,3,peripheral
openframeworks/openFrameworks,azuremous,documentation,4,1,peripheral
openframeworks/openFrameworks,Segfault1602,other,2,1,peripheral
openframeworks/openFrameworks,Nejrup,other,1,1,peripheral
openframeworks/openFrameworks,0o001,documentation,1,1,peripheral
openframeworks/openFrameworks,0o001,source,1,1,peripheral
openframeworks/openFrameworks,gllmAR,other,1,1,peripheral
openframeworks/openFrameworks,revilo196,source,1,1,peripheral
