repo,contributor_id,task_type,file_count,commit_count,core_status
openframeworks/openFrameworks,dimitre,source,1515,216,core
openframeworks/openFrameworks,dimitre,config,177,68,core
openframeworks/openFrameworks,dimitre,other,347,142,core
openframeworks/openFrameworks,dimitre,documentation,2,2,core
openframeworks/openFrameworks,ddgg-el,other,1,1,peripheral
openframeworks/openFrameworks,danoli3,source,5593,674,core
openframeworks/openFrameworks,danoli3,config,846,151,core
openframeworks/openFrameworks,danoli3,other,2017,259,core
openframeworks/openFrameworks,danoli3,documentation,144,57,core
openframeworks/openFrameworks,danoli3,test,1,1,core
openframeworks/openFrameworks,ofTheo,other,7377,586,core
openframeworks/openFrameworks,ofTheo,source,9050,1218,core
openframeworks/openFrameworks,ofTheo,documentation,203,99,core
openframeworks/openFrameworks,ofTheo,config,852,217,core
openframeworks/openFrameworks,ofTheo,test,2,2,core
openframeworks/openFrameworks,themancalledjakob,other,3,2,peripheral
openframeworks/openFrameworks,themancalledjakob,source,7,4,peripheral
openframeworks/openFrameworks,NickHardeman,other,3346,105,core
openframeworks/openFrameworks,NickHardeman,source,3470,268,core
openframeworks/openFrameworks,NickHardeman,config,479,30,core
openframeworks/openFrameworks,NickHardeman,documentation,116,35,core
openframeworks/openFrameworks,niYaDevelop,source,2,1,peripheral
openframeworks/openFrameworks,elliotwoods,source,615,75,core
openframeworks/openFrameworks,elliotwoods,other,482,21,core
openframeworks/openFrameworks,elliotwoods,config,54,5,core
openframeworks/openFrameworks,elliotwoods,documentation,9,3,core
openframeworks/openFrameworks,smeyfroi,source,2,2,peripheral
openframeworks/openFrameworks,artificiel,source,532,88,core
openframeworks/openFrameworks,artificiel,other,57,27,core
openframeworks/openFrameworks,artificiel,documentation,2,2,core
openframeworks/openFrameworks,artificiel,config,2,2,core
openframeworks/openFrameworks,danomatika,source,1758,244,core
openframeworks/openFrameworks,danomatika,other,734,69,core
openframeworks/openFrameworks,danomatika,config,94,19,core
openframeworks/openFrameworks,danomatika,documentation,68,34,core
openframeworks/openFrameworks,DafinaTrufas,source,1,1,peripheral
openframeworks/openFrameworks,tctr,config,86,9,core
openframeworks/openFrameworks,tctr,other,119,6,core
openframeworks/openFrameworks,tctr,documentation,4,4,core
openframeworks/openFrameworks,tctr,source,31,11,core
openframeworks/openFrameworks,GitBruno,source,1,1,peripheral
openframeworks/openFrameworks,JasonnnW3000,documentation,1,1,peripheral
openframeworks/openFrameworks,chilina,source,1,1,peripheral
openframeworks/openFrameworks,roymacdonald,other,519,21,core
openframeworks/openFrameworks,roymacdonald,source,782,100,core
openframeworks/openFrameworks,roymacdonald,config,55,7,core
openframeworks/openFrameworks,roymacdonald,documentation,18,7,core
openframeworks/openFrameworks,2bbb,source,332,80,core
openframeworks/openFrameworks,2bbb,other,128,3,core
openframeworks/openFrameworks,2bbb,config,38,3,core
openframeworks/openFrameworks,2bbb,documentation,19,1,core
openframeworks/openFrameworks,chriship,source,3,2,peripheral
openframeworks/openFrameworks,edap,source,364,16,core
openframeworks/openFrameworks,edap,other,142,8,core
openframeworks/openFrameworks,edap,documentation,14,9,core
openframeworks/openFrameworks,edap,config,19,4,core
openframeworks/openFrameworks,Jonathhhan,source,111,47,core
openframeworks/openFrameworks,Jonathhhan,other,84,20,core
openframeworks/openFrameworks,Jonathhhan,documentation,1,1,core
openframeworks/openFrameworks,Jonathhhan,config,1,1,core
openframeworks/openFrameworks,oxillo,source,187,59,core
openframeworks/openFrameworks,oxillo,other,178,50,core
openframeworks/openFrameworks,oxillo,config,10,10,core
openframeworks/openFrameworks,oxillo,documentation,27,19,core
openframeworks/openFrameworks,hiroMTB,source,5,5,peripheral
openframeworks/openFrameworks,hiroMTB,other,11,6,peripheral
openframeworks/openFrameworks,hiroMTB,config,3,1,peripheral
openframeworks/openFrameworks,EvergreenTheTree,source,1,1,peripheral
openframeworks/openFrameworks,janimatic,source,1,1,peripheral
openframeworks/openFrameworks,fieldOfView,other,1,1,peripheral
openframeworks/openFrameworks,azuremous,source,20,5,peripheral
openframeworks/openFrameworks,azuremous,other,36,3,peripheral
openframeworks/openFrameworks,azuremous,documentation,4,1,peripheral
openframeworks/openFrameworks,Segfault1602,other,2,1,peripheral
openframeworks/openFrameworks,Nejrup,other,1,1,peripheral
openframeworks/openFrameworks,0o001,documentation,1,1,peripheral
openframeworks/openFrameworks,0o001,source,1,1,peripheral
openframeworks/openFrameworks,gllmAR,other,1,1,peripheral
openframeworks/openFrameworks,revilo196,source,1,1,peripheral
openframeworks/openFrameworks,c-mendoza,source,4,3,peripheral
openframeworks/openFrameworks,c-mendoza,other,1,1,peripheral
openframeworks/openFrameworks,Tomaqa,source,2,1,peripheral
openframeworks/openFrameworks,Tomaqa,other,1,1,peripheral
openframeworks/openFrameworks,donarturo11,source,3,2,peripheral
openframeworks/openFrameworks,TheNorthEestern,documentation,1,1,peripheral
openframeworks/openFrameworks,dodocinho,source,1,1,peripheral
openframeworks/openFrameworks,danzeeeman,source,206,39,core
openframeworks/openFrameworks,danzeeeman,documentation,122,8,core
openframeworks/openFrameworks,danzeeeman,other,170,12,core
openframeworks/openFrameworks,danzeeeman,config,178,18,core
openframeworks/openFrameworks,patriciogonzalezvivo,source,218,24,core
openframeworks/openFrameworks,patriciogonzalezvivo,other,257,12,core
openframeworks/openFrameworks,patriciogonzalezvivo,config,11,5,core
openframeworks/openFrameworks,patriciogonzalezvivo,documentation,1,1,core
openframeworks/openFrameworks,sourya-sen,source,6,5,peripheral
openframeworks/openFrameworks,sourya-sen,documentation,1,1,peripheral
openframeworks/openFrameworks,danbz,documentation,1,1,peripheral
openframeworks/openFrameworks,danbz,other,7,1,peripheral
openframeworks/openFrameworks,danbz,source,3,1,peripheral
openframeworks/openFrameworks,eduardfrigola,source,3,3,peripheral
openframeworks/openFrameworks,sai-cc-0001,other,1,1,peripheral
openframeworks/openFrameworks,petewerner,source,1,1,peripheral
openframeworks/openFrameworks,sebleedelisle,source,7,4,peripheral
openframeworks/openFrameworks,sebleedelisle,documentation,1,1,peripheral
openframeworks/openFrameworks,michaellrowley,source,1,1,peripheral
openframeworks/openFrameworks,sadmb,source,2,1,peripheral
openframeworks/openFrameworks,edmBernard,source,1,1,peripheral
openframeworks/openFrameworks,spolette,source,1,1,peripheral
openframeworks/openFrameworks,Ant1r,source,1,1,peripheral
openframeworks/openFrameworks,macramole,source,1,1,peripheral
openframeworks/openFrameworks,pierrep,other,2,1,peripheral
openframeworks/openFrameworks,pierrep,source,2,2,peripheral
openframeworks/openFrameworks,armadillu,source,434,29,core
openframeworks/openFrameworks,armadillu,config,36,4,core
openframeworks/openFrameworks,armadillu,other,265,8,core
openframeworks/openFrameworks,armadillu,documentation,17,1,core
openframeworks/openFrameworks,prisonerjohn,source,485,77,core
openframeworks/openFrameworks,prisonerjohn,other,167,16,core
openframeworks/openFrameworks,prisonerjohn,documentation,7,5,core
openframeworks/openFrameworks,prisonerjohn,config,2,1,core
openframeworks/openFrameworks,CarlFK,source,1,1,peripheral
openframeworks/openFrameworks,bangnoise,other,1,1,peripheral
openframeworks/openFrameworks,bangnoise,source,4,4,peripheral
openframeworks/openFrameworks,paulhoux,source,4,3,peripheral
openframeworks/openFrameworks,thomasgeissl,source,4,4,peripheral
openframeworks/openFrameworks,thomasgeissl,other,5,3,peripheral
openframeworks/openFrameworks,nagyt2,source,1,1,peripheral
openframeworks/openFrameworks,bltzr,documentation,1,1,peripheral
openframeworks/openFrameworks,martinell,source,64,2,peripheral
openframeworks/openFrameworks,martinell,documentation,1,1,peripheral
openframeworks/openFrameworks,martinell,other,31,1,peripheral
openframeworks/openFrameworks,martinell,config,2,1,peripheral
openframeworks/openFrameworks,natxopedreira,other,2,1,peripheral
openframeworks/openFrameworks,jvcleave,documentation,76,24,core
openframeworks/openFrameworks,jvcleave,source,1585,100,core
openframeworks/openFrameworks,jvcleave,other,1870,60,core
openframeworks/openFrameworks,jvcleave,config,352,16,core
openframeworks/openFrameworks,michaelt919,other,1,1,peripheral
openframeworks/openFrameworks,arturoc,source,36775,5445,core
openframeworks/openFrameworks,arturoc,config,3256,614,core
openframeworks/openFrameworks,arturoc,documentation,1063,423,core
openframeworks/openFrameworks,arturoc,other,23747,2097,core
openframeworks/openFrameworks,arturoc,test,16,9,core
openframeworks/openFrameworks,leico,source,1,1,peripheral
openframeworks/openFrameworks,neilmendoza,source,1,1,peripheral
openframeworks/openFrameworks,hamoid,documentation,4,4,core
openframeworks/openFrameworks,hamoid,source,15,15,core
openframeworks/openFrameworks,hamoid,other,6,6,core
openframeworks/openFrameworks,galexite,source,1,1,peripheral
openframeworks/openFrameworks,tgfrerer,source,1002,324,core
openframeworks/openFrameworks,tgfrerer,other,581,86,core
openframeworks/openFrameworks,tgfrerer,documentation,49,19,core
openframeworks/openFrameworks,tgfrerer,config,110,6,core
openframeworks/openFrameworks,n1ckfg,other,1,1,peripheral
openframeworks/openFrameworks,n1ckfg,source,1,1,peripheral
openframeworks/openFrameworks,LYHSH,source,1,1,peripheral
openframeworks/openFrameworks,bakercp,documentation,320,127,core
openframeworks/openFrameworks,bakercp,source,4987,800,core
openframeworks/openFrameworks,bakercp,other,3843,386,core
openframeworks/openFrameworks,bakercp,config,171,49,core
openframeworks/openFrameworks,ivorne,config,4,3,peripheral
openframeworks/openFrameworks,ivorne,source,20,3,peripheral
openframeworks/openFrameworks,npisanti,source,16,3,peripheral
openframeworks/openFrameworks,npisanti,other,2,2,peripheral
openframeworks/openFrameworks,rafirstfruit,source,34,9,peripheral
openframeworks/openFrameworks,gaocegege,source,1,1,peripheral
openframeworks/openFrameworks,thejanzimmermann,source,1,1,peripheral
openframeworks/openFrameworks,kyeshmz,source,1,1,peripheral
openframeworks/openFrameworks,kyeshmz,config,1,1,peripheral
openframeworks/openFrameworks,caminogr,source,3,2,peripheral
openframeworks/openFrameworks,caminogr,documentation,1,1,peripheral
openframeworks/openFrameworks,jonasfehr,other,1,1,peripheral
openframeworks/openFrameworks,lewislepton,source,1,1,peripheral
openframeworks/openFrameworks,thesstefan,source,2,1,peripheral
openframeworks/openFrameworks,cuinjune,source,1,1,peripheral
openframeworks/openFrameworks,lewisou,config,3,1,peripheral
openframeworks/openFrameworks,lewisou,source,1,1,peripheral
openframeworks/openFrameworks,CharStiles,other,1,1,peripheral
openframeworks/openFrameworks,gaborpapp,source,1,1,peripheral
openframeworks/openFrameworks,crecord,source,20,7,core
openframeworks/openFrameworks,crecord,other,20,9,core
openframeworks/openFrameworks,crecord,documentation,11,9,core
openframeworks/openFrameworks,meltar,documentation,1,1,peripheral
openframeworks/openFrameworks,gumilastik,source,4,2,peripheral
openframeworks/openFrameworks,namjeongho,source,2,1,peripheral
openframeworks/openFrameworks,duskvirkus,documentation,1,1,peripheral
openframeworks/openFrameworks,ShadowMitia,source,3,3,peripheral
openframeworks/openFrameworks,jean-louis,source,1,1,peripheral
openframeworks/openFrameworks,shenberg,source,2,2,peripheral
openframeworks/openFrameworks,sphaero,other,4,4,peripheral
openframeworks/openFrameworks,sphaero,config,2,2,peripheral
openframeworks/openFrameworks,sphaero,source,1,1,peripheral
openframeworks/openFrameworks,i-n-g-o,source,114,68,core
openframeworks/openFrameworks,i-n-g-o,documentation,1,1,core
openframeworks/openFrameworks,i-n-g-o,other,116,8,core
openframeworks/openFrameworks,avilleret,source,10,1,peripheral
openframeworks/openFrameworks,avilleret,other,2,1,peripheral
openframeworks/openFrameworks,CarstenHoyer,source,1,1,peripheral
openframeworks/openFrameworks,andylomas,other,1,1,peripheral
openframeworks/openFrameworks,icq4ever,source,2,2,peripheral
openframeworks/openFrameworks,aubergene,other,1,1,peripheral
openframeworks/openFrameworks,leozimmerman,source,2,2,peripheral
openframeworks/openFrameworks,narikei,other,1,1,peripheral
openframeworks/openFrameworks,m1keall1son,source,1,1,peripheral
openframeworks/openFrameworks,kkirby,other,1,1,peripheral
openframeworks/openFrameworks,kkirby,source,6,6,peripheral
openframeworks/openFrameworks,lilive,other,3,1,peripheral
openframeworks/openFrameworks,lilive,config,2,1,peripheral
openframeworks/openFrameworks,yusuketomoto,source,4,3,peripheral
openframeworks/openFrameworks,jpericas22,source,8,2,peripheral
openframeworks/openFrameworks,d-egan,source,2,2,peripheral
openframeworks/openFrameworks,tyhenry,other,1,1,peripheral
openframeworks/openFrameworks,Transat,source,2,2,peripheral
openframeworks/openFrameworks,ahmedammar841,documentation,1,1,peripheral
openframeworks/openFrameworks,edovino,source,4,4,peripheral
openframeworks/openFrameworks,kashimAstro,source,1,1,peripheral
openframeworks/openFrameworks,Wolftronics-SBC,source,1,1,peripheral
openframeworks/openFrameworks,gilbertfrancois,source,1,1,peripheral
openframeworks/openFrameworks,timonsku,source,1,1,peripheral
openframeworks/openFrameworks,timonsku,documentation,1,1,peripheral
openframeworks/openFrameworks,HalfdanJ,source,477,95,core
openframeworks/openFrameworks,HalfdanJ,other,188,8,core
openframeworks/openFrameworks,HalfdanJ,documentation,32,10,core
openframeworks/openFrameworks,HalfdanJ,config,47,12,core
openframeworks/openFrameworks,rvegele,source,1,1,peripheral
